ORDER_ID,CUSTOMER_ID,PROD_ID,TRANSACTION_DATE,UNITS,MOBILE NUMBER,CUSTOMER_NAME,DOB,STATE_CODE,PRODUCT_CATEGORY,SUB_CATEGORY,PRODUCT_NAME,PRICE,SALES
1,362,141,2019-10-17 00:00:00,8,1000032995,Adam Shillingsburg,1983-08-14 00:00:00,QLD,CHOCOLATES AND SWEETS,CANDIES,NESTLE POLO MINTS 31.2 GM (ROLL),10,80
2,111,101,2019-05-17 00:00:00,1,1000032657,Adrian Barton,1969-07-04 00:00:00,SA,FRUITS,MELONS,musk melons,90,90
3,331,105,2019-03-15 00:00:00,10,1000032964,Denny Joy,1961-01-31 00:00:00,WA,FRUITS,SEASONAL FRUITS,dates imported(500gm),189,1890
4,181,167,2019-04-05 00:00:00,9,1000032788,Eleni McCrary,1958-06-19 00:00:00,VIC,CHOCOLATES AND SWEETS,CANDIES,MENTOS ASSORTED CANDIES 156 GM,50,450
5,339,124,2019-01-08 00:00:00,4,1000032972,Brian Derr,1960-10-19 00:00:00,WA,CHOCOLATES AND SWEETS,CANDIES,GOLIBOLI ORANGE FLAVOURED HARD BOILED SUGAR CANDY 100 ,20,80
6,78,119,2019-12-09 00:00:00,1,1000032624,Harry Greene,1977-06-06 00:00:00,NSW,CHOCOLATES AND SWEETS,CANDIES,CHUPA CHUPS SOUR BELT 57.6 GM,30,30
7,414,94,2019-08-09 00:00:00,8,1000033048,Quincy Jones,1990-08-10 00:00:00,VIC,FRUITS,IMPORTED_FRUITS,Avacado,399,3192
8,284,157,2019-10-10 00:00:00,7,1000032917,Robert Marley,1985-07-26 00:00:00,WA,CHOCOLATES AND SWEETS,CANDIES,ALPENLIEBE CREAMFILLS BUTTER TOFFEE 174.8 GM,50,350
9,194,137,2019-02-19 00:00:00,9,1000032821,Tamara Willingham,1957-09-30 00:00:00,QLD,CHOCOLATES AND SWEETS,CANDIES,NATURO FRUITSUM MANGO CANDY 135 GM,100,900
10,332,126,2019-07-15 00:00:00,7,1000032965,Bobby Odegard,1958-05-15 00:00:00,WA,CHOCOLATES AND SWEETS,CANDIES,KOPIKO CANDY CAPPUCCINO 175 GM,115,805
11,512,103,2019-08-11 00:00:00,8,1000033146,Dorothy Badders,1946-09-20 00:00:00,NSW,FRUITS,SEASONAL FRUITS,amarphal,249,1992
12,237,36,2019-09-23 00:00:00,6,1000032870,Toby Gnade,1963-05-29 00:00:00,SA,VEGETABLES,LEAFY VEGETABLES,CORIANDER (DHANIA PATTA),10,60
13,23,29,2019-11-12 00:00:00,9,1000032569,Laurel Beltran,1951-01-29 00:00:00,NSW,VEGETABLES,EXOTIC VEGETABLES,GREEN ZUCCHINI (HARI TURAII),149,1341
14,302,67,2019-09-03 00:00:00,9,1000032935,Chloris Kastensmidt,1947-03-12 00:00:00,WA,VEGETABLES,SEASONAL VEGETABLES,capsicum green,56,504
15,249,2,2019-12-05 00:00:00,5,1000032882,Mike Vittorini,1971-09-08 00:00:00,SA,VEGETABLES,BEANS,CLUSTER BEANS(GOUAR KI PHALI),89,445
16,355,149,2019-07-09 00:00:00,8,1000032988,Adam Hart,1946-01-06 00:00:00,WA,CHOCOLATES AND SWEETS,CANDIES,SWAD IMLI & GUAVA CANDY 100 GM,100,800
17,120,176,2019-01-16 00:00:00,1,1000032666,Alyssa Tate,1973-01-04 00:00:00,NT,CHOCOLATES AND SWEETS,CANDIES,RINDA PURE LYCHEE JELLY 25 GM,99,99
18,19,79,2019-11-03 00:00:00,2,1000032565,Ritsa Hightower,1949-09-30 00:00:00,NSW,FRUITS,BANANA,nendran,99,198
19,321,125,2019-05-04 00:00:00,8,1000032954,David Kendrick,1954-10-23 00:00:00,WA,CHOCOLATES AND SWEETS,CANDIES,GOLIBOLI STRAWBERRY FLAVOURED HARD BOILED SUGAR CANDY ,20,160
20,16,12,2019-02-06 00:00:00,7,1000032562,Thomas Boland,1952-01-10 00:00:00,VIC,VEGETABLES,CHILLI LEMON GARLIC AND GINGER,INDIAN GARLIC (LEHSUN),229,1603
21,422,90,2019-12-16 00:00:00,6,1000033056,Theresa Coyne,1936-10-24 00:00:00,QLD,FRUITS,CITRUS_FRUITS,sweet Tamarind(250gm),89,534
22,552,122,2019-09-15 00:00:00,6,1000033186,Beth Thompson,1976-08-02 00:00:00,WA,CHOCOLATES AND SWEETS,CANDIES,FRUITELLA STRAWBERRY CANDY 36 GM (STICK),30,180
23,346,178,2019-10-10 00:00:00,4,1000032979,Sally Hughsby,1939-06-25 00:00:00,WA,CHOCOLATES AND SWEETS,CANDIES,Simpkins Tropical Fruit Travel Sweets Candy 175 gm,275,1100
24,392,31,2019-02-23 00:00:00,3,1000033026,Arthur Gainer,1959-11-11 00:00:00,WA,VEGETABLES,EXOTIC VEGETABLES,ICEBERG LETTUCE,119,357
25,256,7,2019-04-18 00:00:00,3,1000032889,Ted Butterfield,1942-01-20 00:00:00,WA,VEGETABLES,BRINJAL,PURPLE STRIPED BRINJAL (BAINGAN DHARIDAR),48,144
26,424,67,2019-01-02 00:00:00,2,1000033058,Nathan Cano,1935-03-14 00:00:00,QLD,VEGETABLES,SEASONAL VEGETABLES,capsicum green,56,112
27,390,63,2019-10-20 00:00:00,10,1000033024,Steven Ward,1982-05-09 00:00:00,WA,VEGETABLES,ROOTY VEGETABLES,sweet potato,59,590
28,590,68,2019-03-05 00:00:00,2,1000033224,John Grady,1983-02-12 00:00:00,QLD,VEGETABLES,SEASONAL VEGETABLES,cauliflower,29,58
29,526,163,2019-02-07 00:00:00,2,1000033160,Steven Cartwright,1976-05-20 00:00:00,QLD,CHOCOLATES AND SWEETS,CANDIES,COCO CADO ASSORTED 2 IN1 PUDDING 170 GM,50,100
30,220,104,2019-02-17 00:00:00,8,1000032853,Brosina Hoffman,1948-04-22 00:00:00,WA,FRUITS,SEASONAL FRUITS,custard apple,139,1112
31,233,72,2019-05-07 00:00:00,8,1000032866,Speros Goranitis,1966-05-11 00:00:00,SA,VEGETABLES,SEASONAL VEGETABLES,pumpkin disco,39,312
32,465,175,2019-02-25 00:00:00,7,1000033099,Christine Kargatis,1944-04-07 00:00:00,QLD,CHOCOLATES AND SWEETS,CANDIES,RINDA PUDDING CUP JELLY 80 GM (PACK OF 6),139,973
33,435,28,2019-06-17 00:00:00,8,1000033069,Matthew Clasen,1963-07-10 00:00:00,QLD,VEGETABLES,EXOTIC VEGETABLES,CURLED PARSLEY,19,152
34,34,68,2019-11-21 00:00:00,10,1000032580,Nora Preis,1949-02-06 00:00:00,SA,VEGETABLES,SEASONAL VEGETABLES,cauliflower,29,290
35,90,82,2019-02-14 00:00:00,2,1000032636,Noah Childs,1964-02-02 00:00:00,NT,FRUITS,BANANA,yellaki,85,170
36,365,26,2019-03-03 00:00:00,7,1000032998,Olvera Toch,1946-02-19 00:00:00,WA,VEGETABLES,EXOTIC VEGETABLES,CELERY (AJWAIN),149,1043
37,544,54,2019-04-06 00:00:00,2,1000033178,Stuart Calhoun,1990-05-19 00:00:00,QLD,VEGETABLES,SPROUTS AND PEAS,sprouted beans(200gm),32,64
38,265,121,2019-12-21 00:00:00,6,1000032898,Bryan Spruell,1939-12-15 00:00:00,WA,CHOCOLATES AND SWEETS,CANDIES,FRUITELLA ORANGE CANDY 36 GM (STICK),30,180
39,206,13,2019-11-13 00:00:00,4,1000032839,Julie Creighton,1960-12-04 00:00:00,WA,VEGETABLES,CHILLI LEMON GARLIC AND GINGER,LEMON(NEEMBU),59,236
40,531,32,2019-11-26 00:00:00,2,1000033165,Annie Zypern,1960-03-04 00:00:00,QLD,VEGETABLES,EXOTIC VEGETABLES,LEAFY LETTUCE,199,398
41,1,30,2019-08-17 00:00:00,9,1000032547,Rick Hansen,1984-09-15 00:00:00,QLD,VEGETABLES,EXOTIC VEGETABLES,HERB THYME,20,180
42,454,28,2019-02-24 00:00:00,1,1000033088,Jennifer Ferguson,1949-01-01 00:00:00,QLD,VEGETABLES,EXOTIC VEGETABLES,CURLED PARSLEY,19,19
43,131,109,2019-09-13 00:00:00,6,1000032677,Corey Roper,1947-12-25 00:00:00,WA,FRUITS,SEASONAL FRUITS,sun melon,48,288
44,536,65,2019-01-22 00:00:00,5,1000033170,Raymond Buch,1968-12-16 00:00:00,QLD,VEGETABLES,ROOTY VEGETABLES,yan(Rataaloo),49,245
45,404,119,2019-08-03 00:00:00,4,1000033038,Nicole Fjeld,1931-10-11 00:00:00,WA,CHOCOLATES AND SWEETS,CANDIES,CHUPA CHUPS SOUR BELT 57.6 GM,30,120
46,295,133,2019-11-25 00:00:00,10,1000032928,Maureen Gastineau,1973-03-13 00:00:00,WA,CHOCOLATES AND SWEETS,CANDIES,MENTOS PURE FRESH MINT SUGARFREE GUM 56 GM,100,1000
47,42,80,2019-04-16 00:00:00,2,1000032588,Vivek Grady,1988-05-01 00:00:00,NSW,FRUITS,BANANA,banana red,99,198
48,227,3,2019-04-27 00:00:00,10,1000032860,Ted Trevino,1956-07-07 00:00:00,SA,VEGETABLES,BEANS,COW PEAS(BORA BEANS),59,590
49,520,58,2019-09-02 00:00:00,3,1000033154,Victor Preis,1957-09-03 00:00:00,QLD,VEGETABLES,ROOTY VEGETABLES,baby potato,49,147
50,213,111,2019-04-16 00:00:00,9,1000032846,James Lanier,1934-07-27 00:00:00,SA,FRUITS,SEASONAL FRUITS,pomigranate kesar,99,891
51,187,35,2019-03-28 00:00:00,2,1000032804,Karen Seio,1959-02-11 00:00:00,WA,VEGETABLES,LEAFY VEGETABLES,COLOCASSIA LEAVES (ARBI KA PATTA),10,20
52,421,82,2019-05-21 00:00:00,10,1000033055,Paul Lucas,1949-09-24 00:00:00,QLD,FRUITS,BANANA,yellaki,85,850
53,330,162,2019-10-23 00:00:00,9,1000032963,Eric Murdock,1944-03-03 00:00:00,WA,CHOCOLATES AND SWEETS,CANDIES,CAVENDISH & HARVEY BARLEY SUGAR DROPS 200 GM,225,2025
54,77,30,2019-05-09 00:00:00,2,1000032623,Raymond Messe,1986-08-19 00:00:00,NSW,VEGETABLES,EXOTIC VEGETABLES,HERB THYME,20,40
55,103,86,2019-12-17 00:00:00,9,1000032649,Rose O'Brian,1951-09-05 00:00:00,SA,FRUITS,CITRUS_FRUITS,orange(santra),85,765
56,466,62,2019-02-01 00:00:00,10,1000033100,Darren Koutras,1937-12-19 00:00:00,QLD,VEGETABLES,ROOTY VEGETABLES,delhi carrot,49,490
57,247,21,2019-04-23 00:00:00,3,1000032880,Dionis Lloyd,1965-10-25 00:00:00,VIC,VEGETABLES,CUCUMBER AND GOURDS,MADRAS CUCUMBER (MADRAS KHEERA),33,99
58,570,143,2019-11-23 00:00:00,1,1000033204,Mary O'Rourke,1948-06-04 00:00:00,QLD,CHOCOLATES AND SWEETS,CANDIES,RAVALGAON PAN PASAND GOLD CANDY 200 GM,50,50
59,278,109,2019-04-23 00:00:00,6,1000032911,Shirley Jackson,1955-10-13 00:00:00,WA,FRUITS,SEASONAL FRUITS,sun melon,48,288
60,516,168,2019-02-18 00:00:00,3,1000033150,Bill Tyler,1959-09-08 00:00:00,QLD,CHOCOLATES AND SWEETS,CANDIES,PARLE 2 IN 1 ECLAIRS TOFFEE 277 GM,50,150
61,272,135,2019-08-10 00:00:00,9,1000032905,Scott Cohen,1984-01-16 00:00:00,WA,CHOCOLATES AND SWEETS,CANDIES,NATURE VALLEY CRUNCHY APPLE CRUNCH 42 GM,55,495
62,32,168,2019-05-12 00:00:00,4,1000032578,Joel Eaton,1969-05-03 00:00:00,QLD,CHOCOLATES AND SWEETS,CANDIES,PARLE 2 IN 1 ECLAIRS TOFFEE 277 GM,50,200
63,167,36,2019-01-09 00:00:00,6,1000032767,Alex Grayson,1955-01-27 00:00:00,WA,VEGETABLES,LEAFY VEGETABLES,CORIANDER (DHANIA PATTA),10,60
64,578,99,2019-03-21 00:00:00,3,1000033212,Paul Knutson,1963-10-09 00:00:00,VIC,FRUITS,IMPORTED_FRUITS,imported orange,149,447
65,582,178,2019-10-17 00:00:00,1,1000033216,Linda Cazamias,1956-08-27 00:00:00,QLD,CHOCOLATES AND SWEETS,CANDIES,Simpkins Tropical Fruit Travel Sweets Candy 175 gm,275,275
66,12,115,2019-06-13 00:00:00,6,1000032558,Magdelene Morse,1956-02-17 00:00:00,VIC,CHOCOLATES AND SWEETS,CANDIES,ALPENLIEBE JUZT JELLY MANGO BOTTLES 72.8 GM,30,180
67,210,109,2019-03-28 00:00:00,1,1000032843,Cynthia Voltz,1933-10-14 00:00:00,QLD,FRUITS,SEASONAL FRUITS,sun melon,48,48
68,230,166,2019-01-18 00:00:00,2,1000032863,Tony Molinari,1958-05-09 00:00:00,SA,CHOCOLATES AND SWEETS,CANDIES,MALA'S LITCHI MELTIES 300 GM,69,138
69,151,17,2019-11-12 00:00:00,4,1000032730,Scot Wooten,1957-05-30 00:00:00,WA,VEGETABLES,CUCUMBER AND GOURDS,COCCINIA(TENDLI),78,312
70,289,26,2019-06-09 00:00:00,1,1000032922,Stewart Visinsky,1946-10-31 00:00:00,QLD,VEGETABLES,EXOTIC VEGETABLES,CELERY (AJWAIN),149,149
71,20,28,2019-07-26 00:00:00,8,1000032566,Ann Blume,1948-10-21 00:00:00,NSW,VEGETABLES,EXOTIC VEGETABLES,CURLED PARSLEY,19,152
72,392,98,2019-09-06 00:00:00,5,1000033026,Arthur Gainer,1959-11-11 00:00:00,WA,FRUITS,IMPORTED_FRUITS,imported kiwi eaches,39,195
73,589,124,2019-04-21 00:00:00,6,1000033223,Steve Carroll,1932-12-20 00:00:00,QLD,CHOCOLATES AND SWEETS,CANDIES,GOLIBOLI ORANGE FLAVOURED HARD BOILED SUGAR CANDY 100 ,20,120
74,241,78,2019-02-26 00:00:00,3,1000032874,Charles Sheldon,1959-02-22 00:00:00,WA,FRUITS,APPLE,Fuji,239,717
75,2,169,2019-02-09 00:00:00,1,1000032548,Justin Ritter,1974-07-15 00:00:00,WA,CHOCOLATES AND SWEETS,CANDIES,PARLE KACCHA MANGO BITE CANDY 277 GM,50,50
76,313,150,2019-10-23 00:00:00,4,1000032946,Mitch Gastineau,1946-12-19 00:00:00,WA,CHOCOLATES AND SWEETS,CANDIES,SWAD KACCHA AAM & LEMON CANDY 1.5 GM (PACK OF 90),100,400
77,487,177,2019-02-12 00:00:00,1,1000033121,Craig Carroll,1963-11-27 00:00:00,QLD,CHOCOLATES AND SWEETS,CANDIES,SIMPKINS ORANGE LEMON & GRAPE FRUIT DROPS 200 GM,225,225
78,16,165,2019-10-28 00:00:00,3,1000032562,Thomas Boland,1952-01-10 00:00:00,VIC,CHOCOLATES AND SWEETS,CANDIES,MALA'S ASSORTED MELTIES 300 GM,69,207
79,220,144,2019-06-26 00:00:00,5,1000032853,Brosina Hoffman,1948-04-22 00:00:00,WA,CHOCOLATES AND SWEETS,CANDIES,RAVALGAON SUPRIME ASSORTED TOFFEE 238 GM,50,250
80,167,56,2019-09-13 00:00:00,2,1000032767,Alex Grayson,1955-01-27 00:00:00,WA,VEGETABLES,SPROUTS AND PEAS,sprouted mixed beans ankruti daane (200gm),32,64
81,362,17,2019-01-25 00:00:00,5,1000032995,Adam Shillingsburg,1983-08-14 00:00:00,QLD,VEGETABLES,CUCUMBER AND GOURDS,COCCINIA(TENDLI),78,390
82,411,69,2019-07-18 00:00:00,1,1000033045,Charles Crestani,1954-09-04 00:00:00,VIC,VEGETABLES,SEASONAL VEGETABLES,coconut,30,30
83,24,5,2019-07-13 00:00:00,3,1000032570,Naresj Patel,1960-11-10 00:00:00,NSW,VEGETABLES,BRINJAL,BIG BLACK BRINJAL (BHARTA BAINGAN),38,114
84,126,155,2019-12-23 00:00:00,2,1000032672,Sally Matthias,1976-04-15 00:00:00,SA,CHOCOLATES AND SWEETS,CANDIES,TIC TAC POPCORN FENNEL MINT 10.2 GM,10,20
85,485,32,2019-02-19 00:00:00,3,1000033119,Russell Applegate,1956-09-27 00:00:00,QLD,VEGETABLES,EXOTIC VEGETABLES,LEAFY LETTUCE,199,597
86,348,101,2019-06-05 00:00:00,5,1000032981,Jennifer Braxton,1977-11-11 00:00:00,WA,FRUITS,MELONS,musk melons,90,450
87,413,29,2019-04-01 00:00:00,9,1000033047,Maris LaWare,1932-04-30 00:00:00,VIC,VEGETABLES,EXOTIC VEGETABLES,GREEN ZUCCHINI (HARI TURAII),149,1341
88,457,121,2019-11-27 00:00:00,5,1000033091,Paul Gonzalez,1941-01-26 00:00:00,QLD,CHOCOLATES AND SWEETS,CANDIES,FRUITELLA ORANGE CANDY 36 GM (STICK),30,150
89,324,69,2019-12-22 00:00:00,3,1000032957,Meg O'Connel,1966-02-27 00:00:00,WA,VEGETABLES,SEASONAL VEGETABLES,coconut,30,90
90,116,31,2019-02-02 00:00:00,6,1000032662,Gary McGarr,1961-04-10 00:00:00,SA,VEGETABLES,EXOTIC VEGETABLES,ICEBERG LETTUCE,119,714
91,160,152,2019-06-17 00:00:00,9,1000032759,Eugene Hildebrand,1954-11-01 00:00:00,SA,CHOCOLATES AND SWEETS,CANDIES,TIC TAC ELAICHI MINTS 10.7 GM,25,225
92,191,61,2019-08-19 00:00:00,3,1000032811,Cyra Reiten,1980-08-10 00:00:00,WA,VEGETABLES,ROOTY VEGETABLES,colocasia small pack,68,204
93,162,20,2019-05-16 00:00:00,5,1000032761,Joy Smith,1982-11-28 00:00:00,SA,VEGETABLES,CUCUMBER AND GOURDS,CUCUMBER (FRENCH),44,220
94,143,108,2019-12-05 00:00:00,1,1000032713,Claire Gute,1955-04-09 00:00:00,WA,FRUITS,SEASONAL FRUITS,sapota,49,49
